,StationNbr,Name,City,RegionalOffice,County,ConnectDate,DisconnectDate,IsActive,IsEtoStation,Elevation,GroundCover,Lat,Long,ZipCodes,SitingDesc
1,2,FivePoints,Five Points,South Central Region Office,Fresno,6/7/1982,12/31/2050,True,True,285,Grass,36.336222,-120.11291,['93624'],
5,6,Davis,Davis,North Central Region Office,Yolo,7/17/1982,12/31/2050,True,True,60,Grass,38.535694,-121.77636,"['95618', '95617', '95616']",
6,7,Firebaugh/Telles,Firebaugh,South Central Region Office,Fresno,9/22/1982,12/31/2050,True,True,185,Grass,36.851222,-120.59092,"['93622', '93665', '93620']",
11,12,Durham,Chico,Northern Region Office,Butte,10/19/1982,12/31/2050,True,True,130,Grass,39.608639,-121.82443,"['95974', '95958', '95938']",
12,13,Camino,Placerville,North Central Region Office,El Dorado,10/19/1982,12/31/2050,True,True,2780,Grass,38.753136,-120.7336,"['95667', '95709']",
14,15,Stratford,Stratford,South Central Region Office,Kings,10/29/1982,12/31/2050,True,True,193,Grass,36.157972,-119.85143,"['93246', '93245', '93234', '93202', '93266']",
34,35,Bishop,Bishop,Southern Region Office,Inyo,2/4/1983,12/31/2050,True,True,4170,Grass,37.358514,-118.40553,"['93515', '93514', '93513', '93512']",
38,39,Parlier,Parlier,South Central Region Office,Fresno,5/23/1983,12/31/2050,True,True,337,Grass,36.597444,-119.50404,"['93662', '93657', '93654', '93618', '93161', '93648']",
40,41,Calipatria/Mulberry,Calipatria,Southern Region Office,Imperial,7/17/1983,12/31/2050,True,True,-110,Grass,33.042986,-115.41585,"['92281', '92257', '92233']",
42,43,McArthur,Glenburn,Northern Region Office,Shasta,10/31/1983,12/31/2050,True,True,3310,Grass,41.063767,-121.45602,"['96028', '96056']",
43,44,U.C. Riverside,Riverside,Southern Region Office,Riverside,6/2/1985,12/31/2050,True,True,1020,Grass,33.964942,-117.33698,"['92522', '92521', '92519', '92518', '92517', '92516', '92515', '92514', '92513', '92509', '92507', '92506', '92505', '92504', '92503', '92502', '92501']",
46,47,Brentwood,Brentwood,North Central Region Office,Contra Costa,11/18/1985,12/31/2050,True,True,45,Grass,37.928258,-121.6599,"['94548', '94514', '94513']",
51,52,San Luis Obispo,San Luis Obispo,Southern Region Office,San Luis Obispo,4/2/1986,12/31/2050,True,True,330,Grass,35.305442,-120.66178,"['93410', '93409', '93408', '93407', '93406', '93405', '93403', '93401']",
63,64,Santa Ynez,Santa Ynez,Southern Region Office,Santa Barbara,11/21/1986,12/31/2050,True,True,490,Grass,34.583144,-120.07924,['93460'],
67,68,Seeley,Seeley,Southern Region Office,Imperial,5/29/1987,12/31/2050,True,True,40,Grass,32.759575,-115.73207,['92273'],
69,70,Manteca,Manteca,North Central Region Office,San Joaquin,11/12/1987,12/31/2050,True,True,33,Grass,37.834822,-121.22319,"['95337', '95336', '95365', '95320', '95231']",
70,71,Modesto,Modesto,South Central Region Office,Stanislaus,6/25/1987,12/31/2050,True,True,35,Grass,37.645222,-121.18776,"['95397', '95358', '95357', '95356', '95355', '95354', '95353', '95352', '95351', '95350']",
74,75,Irvine,Irvine,Southern Region Office,Orange,10/7/1987,12/31/2050,True,True,410,Grass,33.68845,-117.72118,"['92710', '92707', '92667', '92650', '92630', '92623', '92620', '92619', '92618', '92616', '92614', '92612', '92606', '92604', '92603', '92602']",
76,77,Oakville,Napa,North Central Region Office,Napa,3/1/1989,12/31/2050,True,True,190,Grass,38.428475,-122.41021,"['94573', '94574', '94562']",
77,78,Pomona,Pomona,Southern Region Office,Los Angeles,3/14/1989,12/31/2050,True,True,730,Grass,34.056589,-117.81307,"['91799', '91797', '91769', '91768', '91767', '91766', '91765']",
79,80,Fresno State,Fresno,South Central Region Office,Fresno,10/3/1988,12/31/2050,True,True,339,Grass,36.820833,-119.74231,"['93766', '93762', '93761', '93760', '93759', '93755', '93750', '93747', '93745', '93744', '93741', '93740', '93729', '93728', '93727', '93726', '93725', '93724', '93722', '93721', '93720', '93718', '93717', '93716', '93715', '93714', '93711', '93710', '93709', '93708', '93707', '93706', '93705', '93704', '93703', '93702', '93701', '93650']",
82,83,Santa Rosa,Santa Rosa,North Central Region Office,Sonoma,1/1/1990,12/31/2050,True,True,80,Grass,38.40355,-122.79993,"['95409', '95408', '95407', '95406', '95405', '95404', '95403', '95402', '95401']",
83,84,Browns Valley,Marysville,North Central Region Office,Yuba,4/13/1989,12/31/2050,True,True,940,Grass,39.252561,-121.31567,['95918'],
86,87,Meloland,El Centro,Southern Region Office,Imperial,12/12/1989,12/31/2050,True,True,-50,Grass,32.806183,-115.44626,"['92251', '92250', '92244', '92243']",
89,90,Alturas,Alturas,Northern Region Office,Modoc,4/23/1989,12/31/2050,True,True,4405,Grass,41.438214,-120.48031,['96101'],
90,91,Tulelake FS,Tulelake,Northern Region Office,Siskiyou,4/12/1989,12/31/2035,True,True,4035,Grass,41.958869,-121.47237,['96134'],
98,99,Santa Monica,Santa Monica,Southern Region Office,Los Angeles,12/11/1992,5/8/2050,True,True,340,Grass,34.044311,-118.47689,"['90411', '90410', '90409', '90408', '90407', '90406', '90405', '90404', '90403', '90402', '90401']",
102,103,Windsor,Windsor,North Central Region Office,Sonoma,12/14/1990,12/31/2050,True,True,92,Grass,38.52665,-122.813758,"['95492', '95439', '95448', '95436']",
103,104,De Laveaga,Santa Cruz,South Central Region Office,Santa Cruz,9/28/1990,12/31/2050,True,True,300,Grass,36.997444,-121.99676,"['95065', '95064', '95018', '95067', '95063', '95073']",
104,105,Westlands,Tranquility,South Central Region Office,Fresno,4/17/1992,12/31/2050,True,True,191,Grass,36.634028,-120.38181,"['93668', '93640']",
